customer_id_nk,sale_id_nk,fecha,n_items,unidades,importe,margen,tiene_devolucion
1,7829,2025-10-01,4,8,849.65,339.88,False
1,883,2025-05-13,1,1,129.99,52.0,False
1,8193,2025-05-12,2,5,719.95,288.0,False
1,13732,2025-01-25,1,2,319.98,128.0,False
1,4822,2024-10-31,3,5,549.95,220.0,False
1,634,2024-10-19,3,6,319.67,127.88,False
1,11295,2024-08-05,3,6,349.76,139.92,False
1,10095,2024-07-22,3,5,479.77,191.92,False
1,4137,2024-05-02,4,6,441.67,171.88,True
1,14188,2023-04-07,1,1,54.9,21.96,False
1,13550,2022-11-26,2,6,689.4,275.76,False
1,4184,2022-11-13,3,4,329.87,131.96,False
1,5399,2022-07-06,1,1,179.99,72.0,True
1,6606,2022-05-26,4,7,779.3,311.72,False
1,1850,2022-04-16,2,4,249.6,99.84,False
1,9764,2021-03-30,4,9,1219.91,488.0,False
1,5338,2021-01-18,2,2,89.98,36.0,False
1,8867,2020-11-27,4,5,779.95,312.0,False
1,6026,2020-09-23,4,8,1329.92,532.0,False
1,13462,2020-09-20,3,6,469.67,187.88,False
1,6716,2020-08-26,1,3,1049.97,420.0,False
1,3154,2020-06-29,2,3,349.7,139.88,False
2,1680,2025-10-30,4,7,696.93,278.8,False
2,8855,2025-05-13,1,1,34.99,14.0,False
2,1357,2025-05-07,3,5,489.95,196.0,True
2,1744,2025-02-08,2,5,1039.95,416.0,False
2,2671,2024-11-03,4,9,479.46,191.8,True
2,9555,2024-10-12,3,3,729.97,292.0,False
2,14193,2024-05-29,4,5,425.95,170.4,False
2,2998,2024-05-18,1,2,259.98,104.0,False
2,13397,2024-01-01,3,6,419.67,167.88,True
2,7439,2023-10-20,4,9,1074.91,430.0,True
2,394,2023-10-11,2,4,324.6,129.84,True
2,10837,2023-05-15,2,6,299.67,119.88,False
2,9650,2023-02-22,3,6,449.94,180.0,False
2,6346,2022-12-13,1,2,119.98,48.0,False
2,7382,2022-08-13,1,1,399.99,160.0,False
2,5605,2022-07-06,2,4,489.96,196.0,False
2,1427,2021-07-25,4,8,709.47,283.8,False
2,1842,2021-06-28,4,7,1159.93,464.0,False
2,1720,2021-04-30,4,10,699.63,279.88,False
2,11351,2020-12-19,1,2,49.98,20.0,False
2,674,2020-09-24,3,6,564.67,225.88,False
2,8272,2020-06-19,3,5,1039.86,415.96,False
2,14905,2020-03-23,1,1,159.99,64.0,False
2,11239,2020-03-02,4,8,624.83,249.96,True
3,13547,2025-11-07,4,10,2489.9,996.0,True
3,4222,2025-08-14,4,7,845.66,338.28,False
3,10359,2025-07-24,3,7,2199.84,879.96,False
3,1390,2025-07-10,2,6,164.94,66.0,True
3,5985,2025-01-12,3,3,214.79,85.92,False
3,629,2024-05-21,2,4,149.96,60.0,False
3,9358,2024-05-18,3,8,1489.92,596.0,False
3,953,2024-05-03,2,4,639.96,256.0,True
3,1042,2023-03-27,4,7,419.75,167.92,False
3,2481,2022-12-16,3,7,504.48,201.8,False
3,13997,2022-09-18,2,5,639.68,255.88,False
3,13553,2022-08-13,2,5,434.68,173.88,False
3,14336,2022-07-15,3,7,1139.66,455.88,False
3,5349,2022-05-26,3,5,419.77,167.92,False
3,13718,2022-04-12,3,6,1479.85,591.96,False
3,7574,2021-12-19,4,6,889.67,355.88,True
3,9712,2021-08-25,4,8,1649.92,660.0,False
3,11053,2021-05-21,4,5,709.68,283.88,False
3,7996,2021-03-03,1,2,279.98,112.0,False
3,2982,2021-01-13,2,2,85.98,34.4,True
3,10881,2021-01-06,3,5,629.95,252.0,False
3,12664,2020-12-24,3,8,554.92,222.0,False
3,3527,2020-08-26,4,8,1329.74,531.92,False
3,10494,2020-08-17,4,8,499.83,199.96,False
4,12902,2025-12-12,2,4,1199.96,480.0,False
4,5671,2025-07-31,3,7,599.66,239.88,False
4,7172,2024-10-18,1,3,239.97,96.0,False
4,2211,2024-02-15,3,8,564.74,225.92,False
4,2581,2023-12-05,3,6,979.94,392.0,False
4,2538,2022-09-05,4,9,679.91,272.0,True
4,9853,2021-10-30,3,5,1019.77,407.92,False
4,10739,2020-12-07,3,8,789.92,316.0,True
4,8688,2020-06-30,2,3,409.97,164.0,False
4,8203,2020-04-19,4,8,1719.92,688.0,False
5,1355,2025-12-07,2,2,319.8,127.92,False
5,11163,2025-10-11,4,8,527.74,211.12,False
5,4324,2025-05-28,2,5,549.95,220.0,False
5,5197,2025-04-10,4,10,974.63,389.88,False
5,7852,2025-03-14,4,6,614.94,246.0,False
5,2284,2024-11-18,3,6,739.49,295.8,False
5,11747,2024-11-14,1,2,359.98,144.0,False
5,4536,2024-11-08,1,3,899.97,360.0,False
5,6051,2024-09-20,2,3,234.7,93.88,True
5,1932,2024-04-12,3,7,329.75,131.92,False
5,10338,2024-03-19,4,6,1009.58,403.84,True
5,5946,2024-01-26,2,3,269.79,107.92,False
5,5445,2023-11-18,1,3,74.7,29.88,False
5,3522,2023-09-11,2,4,489.87,195.96,False
5,3932,2023-05-14,2,4,999.87,399.96,False
5,7165,2023-05-14,1,1,34.99,14.0,False
5,5376,2022-07-23,4,9,934.64,373.88,False
5,11018,2022-05-19,2,3,309.97,124.0,True
5,14106,2021-09-30,3,7,279.48,111.8,False
5,861,2020-04-30,3,5,404.59,161.84,False
5,10549,2020-03-31,3,8,369.92,148.0,True
5,4095,2020-03-17,1,3,209.7,83.88,False
6,3057,2025-12-12,1,1,149.9,59.96,True
6,12798,2025-08-09,2,4,399.6,159.84,False
6,718,2025-08-01,2,3,77.97,31.2,False
6,6810,2025-07-29,1,3,749.97,300.0,False
6,11324,2025-06-13,4,6,1359.94,544.0,True
6,1628,2024-12-08,1,3,179.97,72.0,False
6,12354,2024-11-23,1,2,159.98,64.0,False
6,3779,2024-02-11,2,2,199.89,79.96,False
6,4097,2023-11-24,3,5,269.95,108.0,True
6,1575,2023-01-13,2,5,819.95,328.0,False
6,1920,2022-06-29,4,9,1144.64,457.88,False
6,4112,2022-05-26,4,7,719.66,287.88,False
6,13616,2022-05-09,3,8,1669.74,667.92,False
6,5273,2022-02-20,1,3,269.97,108.0,False
6,9116,2021-11-14,2,3,859.97,344.0,False
6,10603,2021-10-07,2,3,369.79,147.92,False
6,8168,2021-06-25,3,6,569.67,227.88,False
6,7273,2021-05-19,4,9,969.82,387.96,False
6,7233,2020-07-15,3,8,919.47,367.8,False
6,3655,2020-04-19,2,3,379.79,151.92,False
7,12540,2025-12-05,4,6,564.94,226.0,False
7,14366,2025-11-16,3,4,319.69,127.88,False
7,7444,2025-09-17,1,2,69.98,28.0,True
7,2913,2025-07-28,1,3,74.97,30.0,False
7,4225,2024-12-19,4,8,304.2,121.68,False
7,6505,2024-10-29,3,5,409.95,164.0,False
7,14023,2024-04-14,4,8,1059.92,424.0,False
7,9841,2024-01-04,4,8,1284.92,514.0,False
