year_month,n_ventas,n_clientes,revenue,margin,cost,items_devueltos,items_total,margin_pct,return_rate_pct
2020-01,223,194,132114.93,52849.24,79265.69,34,552,40.0,6.16
2020-02,177,159,114214.89,45688.6,68526.29,14,460,40.0,3.04
2020-03,231,202,129060.63,51627.32,77433.31,32,548,40.0,5.84
2020-04,220,197,127109.4,50847.12,76262.28,23,574,40.0,4.01
2020-05,191,176,112917.96,45170.12,67747.84,18,496,40.0,3.63
2020-06,201,174,117538.86,47018.44,70520.42,16,484,40.0,3.31
2020-07,183,164,111540.21,44618.76,66921.45,21,459,40.0,4.58
2020-08,212,184,123343.31,49340.4,74002.91,23,523,40.0,4.4
2020-09,229,193,128562.46,51428.12,77134.34,22,541,40.0,4.07
2020-10,212,180,129370.75,51751.4,77619.35,28,533,40.0,5.25
2020-11,201,170,128579.5,51434.8,77144.7,20,524,40.0,3.82
2020-12,229,198,131374.05,52553.0,78821.05,37,601,40.0,6.16
2021-01,436,406,162605.03,65046.0,97559.03,52,759,40.0,6.85
2021-02,391,362,150448.74,60183.28,90265.46,37,708,40.0,5.23
2021-03,384,356,164639.92,65859.88,98780.04,43,739,40.0,5.82
2021-04,217,192,115976.94,46394.04,69582.9,19,541,40.0,3.51
2021-05,229,196,132888.65,53158.64,79730.01,27,564,40.0,4.79
2021-06,224,200,131440.14,52579.28,78860.86,34,570,40.0,5.96
2021-07,223,187,137594.37,55040.96,82553.41,19,554,40.0,3.43
2021-08,200,178,120789.89,48318.8,72471.09,20,497,40.0,4.02
2021-09,218,188,131089.73,52439.12,78650.61,27,571,40.0,4.73
2021-10,221,194,132283.92,52916.8,79367.12,29,555,40.0,5.23
2021-11,209,180,124533.54,49816.56,74716.98,27,539,40.0,5.01
2021-12,199,169,120380.09,48154.84,72225.25,32,492,40.0,6.5
2022-01,358,338,144420.16,57771.68,86648.48,39,663,40.0,5.88
2022-02,315,294,135155.3,54065.4,81089.9,23,627,40.0,3.67
2022-03,327,298,152785.94,61118.16,91667.78,16,644,40.0,2.48
2022-04,414,392,156119.47,62451.64,93667.83,44,736,40.0,5.98
2022-05,430,396,170645.29,68262.0,102383.29,51,744,40.0,6.85
2022-06,419,394,151275.54,60513.96,90761.58,44,710,40.0,6.2
2022-07,192,175,103975.11,41592.56,62382.55,23,462,40.0,4.98
2022-08,218,189,122700.76,49083.36,73617.4,37,526,40.0,7.03
2022-09,207,174,120500.33,48203.04,72297.29,31,523,40.0,5.93
2022-10,219,194,120552.88,48224.2,72328.68,21,525,40.0,4.0
2022-11,189,162,107909.39,43166.56,64742.83,20,469,40.0,4.26
2022-12,221,189,132898.33,53162.64,79735.69,31,546,40.0,5.68
2023-01,195,174,118465.38,47388.76,71076.62,15,497,40.0,3.02
2023-02,203,178,127977.29,51194.0,76783.29,29,526,40.0,5.51
2023-03,206,186,120433.36,48176.32,72257.04,31,515,40.0,6.02
2023-04,347,313,156167.89,62470.64,93697.25,44,677,40.0,6.5
2023-05,317,295,126960.39,50787.44,76172.95,33,586,40.0,5.63
2023-06,339,315,136875.84,54753.76,82122.08,34,620,40.0,5.48
2023-07,453,423,158765.53,63509.88,95255.65,45,754,40.0,5.97
2023-08,448,425,154074.58,61633.56,92441.02,59,723,40.0,8.16
2023-09,233,201,142651.68,57064.0,85587.68,28,582,40.0,4.81
2023-10,210,185,121295.88,48521.16,72774.72,33,509,40.0,6.48
2023-11,211,186,132319.46,52930.64,79388.82,22,538,40.0,4.09
2023-12,195,170,114505.71,45805.12,68700.59,31,484,40.0,6.4
2024-01,218,191,125179.15,50074.72,75104.43,20,522,40.0,3.83
2024-02,207,183,127715.42,51089.12,76626.3,20,536,40.0,3.73
2024-03,237,194,146275.65,58513.68,87761.97,21,604,40.0,3.48
2024-04,221,192,148532.37,59416.4,89115.97,29,582,40.0,4.98
2024-05,196,172,116017.26,46381.44,69635.82,31,487,39.98,6.37
2024-06,217,189,125614.2,50248.88,75365.32,28,532,40.0,5.26
2024-07,382,353,155781.49,62316.36,93465.13,31,723,40.0,4.29
2024-08,327,308,127985.32,51197.44,76787.88,37,598,40.0,6.19
2024-09,226,194,127039.92,50819.12,76220.8,33,551,40.0,5.99
2024-10,216,183,124671.97,49871.88,74800.09,31,532,40.0,5.83
2024-11,592,554,200642.1,80261.64,120380.46,64,935,40.0,6.84
2024-12,563,528,183640.73,73460.76,110179.97,64,912,40.0,7.02
2025-01,197,172,102620.46,41050.84,61569.62,27,469,40.0,5.76
2025-02,171,152,100836.02,40336.96,60499.06,21,429,40.0,4.9
2025-03,207,182,117620.31,47051.04,70569.27,32,534,40.0,5.99
2025-04,191,165,121866.23,48749.32,73116.91,17,484,40.0,3.51
2025-05,252,207,144249.24,57703.32,86545.92,37,623,40.0,5.94
2025-06,164,151,93182.97,37275.68,55907.29,16,419,40.0,3.82
2025-07,216,181,126848.76,50742.68,76106.08,27,552,40.0,4.89
2025-08,203,172,108588.72,43438.28,65150.44,21,502,40.0,4.18
2025-09,685,663,200048.32,80024.28,120024.04,58,980,40.0,5.92
2025-10,694,673,198405.68,79367.12,119038.56,73,998,40.0,7.31
2025-11,457,432,163162.71,65269.04,97893.67,50,762,40.0,6.56
2025-12,435,415,152324.27,60933.28,91390.99,38,719,40.0,5.29
