table_name,column_name,pk_pos,constraint_name
brand,brand_id,1,brand_pkey
category,category_id,1,category_pkey
central_inventory,inventory_id,1,central_inventory_pkey
central_product,product_id,1,central_product_pkey
city_zone,postal_code,1,city_zone_pkey
customer,customer_id,1,customer_pkey1
inventory,inventory_id,1,inventory_pkey
offer,offer_id,1,offer_pkey
product,product_id,1,product_pkey
product_offer,product_id,1,product_offer_pkey
product_offer,offer_id,2,product_offer_pkey
return_item,return_id,1,return_item_pkey
return_reason,reason_id,1,return_reason_pkey
sale,sale_id,1,sale_pkey
sale_item,sale_item_id,1,sale_item_pkey
store,store_id,1,store_pkey
warehouse,warehouse_id,1,warehouse_pkey
warehouse_location,location_id,1,warehouse_location_pkey
