tabla_origen,col_origen,tabla_destino,col_destino,constraint_name
central_inventory,product_id,central_product,product_id,central_inventory_product_id_fkey
central_inventory,location_id,warehouse_location,location_id,central_inventory_location_id_fkey
central_inventory,warehouse_id,warehouse,warehouse_id,central_inventory_warehouse_id_fkey
central_product,brand_id,brand,brand_id,central_product_brand_id_fkey
central_product,category_id,category,category_id,central_product_category_id_fkey
inventory,product_id,product,product_id,inventory_product_id_fkey
inventory,store_id,store,store_id,inventory_store_id_fkey
product_offer,product_id,product,product_id,product_offer_product_id_fkey
product_offer,offer_id,offer,offer_id,product_offer_offer_id_fkey
return_item,sale_item_id,sale_item,sale_item_id,return_item_sale_item_id_fkey
sale,customer_id,customer,customer_id,sale_customer_id_fkey
sale,store_id,store,store_id,sale_store_id_fkey
sale_item,product_id,product,product_id,sale_item_product_id_fkey
sale_item,offer_id,offer,offer_id,sale_item_offer_id_fkey
sale_item,sale_id,sale,sale_id,sale_item_sale_id_fkey
warehouse_location,warehouse_id,warehouse,warehouse_id,warehouse_location_warehouse_id_fkey
